"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks validation error when uploading a GIF image (unsupported format)","146","imgUploadGIFNegative","TestSuite","Thu Feb 19 10:07:10 UTC 2026","passed","Thu Feb 19 10:07:10 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative"
"Verify that an attempt to like another user's EcoNews returns 200 status code","704","likeAnotherUsersEcoNewsById","TestSuite","Thu Feb 19 10:10:21 UTC 2026","passed","Thu Feb 19 10:10:22 UTC 2026","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","likeAnotherUsersEcoNewsById"
"Add the same EcoNews twice - should return 400 error","388","addToFavoritesTwiceShouldReturnError400","TestSuite","Thu Feb 19 10:10:19 UTC 2026","passed","Thu Feb 19 10:10:20 UTC 2026","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","API Tests","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","addToFavoritesTwiceShouldReturnError400"
"This test verifies that an authorized user can successfully create a new EcoNews item and receive a valid response with generated ID and correct data.","289","createEcoNewsSuccessTest","TestSuite","Thu Feb 19 10:10:11 UTC 2026","passed","Thu Feb 19 10:10:11 UTC 2026","org.greencity.api.CreateEcoNewsTest","API Tests","org.greencity.api.CreateEcoNewsTest","createEcoNewsSuccessTest"
"","242","checkThreeTagsSelection","TestSuite","Thu Feb 19 10:09:02 UTC 2026","skipped","Thu Feb 19 10:09:02 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters","208","verifyContentValidationAndPublishButtonLogic20","TestSuite","Thu Feb 19 10:05:43 UTC 2026","passed","Thu Feb 19 10:05:43 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20"
"Verify that the Create News form contains the particular fields in English locale","9412","verifyCreateNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 19 10:05:26 UTC 2026","passed","Thu Feb 19 10:05:35 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","verifyCreateNewsFormFieldsVisibilityInEnglishLocale"
"","281","addSubCommentTest","TestSuite","Thu Feb 19 10:10:11 UTC 2026","passed","Thu Feb 19 10:10:11 UTC 2026","org.greencity.api.EcoNewsCommentTest","API Tests","org.greencity.api.EcoNewsCommentTest","addSubCommentTest"
"Verify that updating EcoNews with a specific image is successful","512","testUpdateEcoNewsByIdWithImage","TestSuite","Thu Feb 19 10:10:14 UTC 2026","passed","Thu Feb 19 10:10:14 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","testUpdateEcoNewsByIdWithImage"
"","3158","isLogin","TestSuite","Thu Feb 19 10:08:19 UTC 2026","passed","Thu Feb 19 10:08:22 UTC 2026","org.greencity.ui.FirstTestWithUser","UI Tests","org.greencity.ui.FirstTestWithUser","isLogin"
"Verify that the system returns 404 Not Found when requesting replies for a non-existing comment.","213","testGetActiveRepliesShouldReturn404","TestSuite","Thu Feb 19 10:10:18 UTC 2026","passed","Thu Feb 19 10:10:18 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testGetActiveRepliesShouldReturn404"
"Verify that an attempt to like non-existing EcoNews returns 404 status code","200","likeNonExistingEcoNewsById","TestSuite","Thu Feb 19 10:10:21 UTC 2026","passed","Thu Feb 19 10:10:21 UTC 2026","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","likeNonExistingEcoNewsById"
"","184","getEcoNewsCountByAuthorIdTest","TestSuite","Thu Feb 19 10:10:12 UTC 2026","passed","Thu Feb 19 10:10:12 UTC 2026","org.greencity.api.EcoNewsCountTest","API Tests","org.greencity.api.EcoNewsCountTest","getEcoNewsCountByAuthorIdTest"
"The test checks validation when loading an image that is too large","180","imgUploadTooLargeNegative","TestSuite","Thu Feb 19 10:07:17 UTC 2026","passed","Thu Feb 19 10:07:17 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadTooLargeNegative"
"","1787","signInTest","TestSuite","Thu Feb 19 10:10:08 UTC 2026","passed","Thu Feb 19 10:10:10 UTC 2026","org.greencity.api.OwnSecurityTest","API Tests","org.greencity.api.OwnSecurityTest","signInTest"
"Verify that updating EcoNews without authorization returns 401 status code.","193","testUpdateEcoNewsByIdWithoutTokenShouldReturn401","TestSuite","Thu Feb 19 10:10:14 UTC 2026","passed","Thu Feb 19 10:10:15 UTC 2026","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","testUpdateEcoNewsByIdWithoutTokenShouldReturn401"
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","403","getEcoNewsLangTest","TestSuite","Thu Feb 19 10:10:14 UTC 2026","passed","Thu Feb 19 10:10:14 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","getEcoNewsLangTest"
"Verify that updating EcoNews without providing an image works correctly","272","testUpdateEcoNewsByIdWithoutImage","TestSuite","Thu Feb 19 10:10:15 UTC 2026","passed","Thu Feb 19 10:10:15 UTC 2026","org.greencity.api.EcoNewsById.UpdateEcoNewsByIdWithoutImageTest","API Tests","org.greencity.api.EcoNewsById.UpdateEcoNewsByIdWithoutImageTest","testUpdateEcoNewsByIdWithoutImage"
"This test verifies that an authorized user can successfully create a new EcoNews item and receive a valid response with generated ID and correct data.","996","testCountActiveReplies","TestSuite","Thu Feb 19 10:10:17 UTC 2026","passed","Thu Feb 19 10:10:18 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testCountActiveReplies"
"Verify validation logic for invalid Source field and successful publish after correction","32381","SourceFieldNonValidValidation","TestSuite","Thu Feb 19 10:06:23 UTC 2026","broken","Thu Feb 19 10:06:55 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
