"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Like a comment","TestSuite","Sat Mar 14 22:32:07 UTC 2026","passed","Sat Mar 14 22:32:07 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","likeCommentTest"
"","285","deleteSubCommentTest","TestSuite","Sat Mar 14 22:32:07 UTC 2026","passed","Sat Mar 14 22:32:08 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","deleteSubCommentTest"
"Add EcoNews to favorites and then remove it (authorized)","501","addAndRemoveEcoNewsFavorites_authorized","TestSuite","Sat Mar 14 22:32:15 UTC 2026","passed","Sat Mar 14 22:32:16 UTC 2026","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","API Tests","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","addAndRemoveEcoNewsFavorites_authorized"
"Verify that news can be published with empty Source field","8476","SourceFieldValidation","TestSuite","Sat Mar 14 22:28:15 UTC 2026","passed","Sat Mar 14 22:28:23 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldValidation"
"","1158","checkFourTagsSelection","TestSuite","Sat Mar 14 22:29:50 UTC 2026","passed","Sat Mar 14 22:29:51 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkFourTagsSelection"
"","243","getTagsByLanguageTest","TestSuite","Sat Mar 14 22:32:08 UTC 2026","passed","Sat Mar 14 22:32:08 UTC 2026","org.greencity.api.EcoNewsTagsTest","API Tests","org.greencity.api.EcoNewsTagsTest","getTagsByLanguageTest"
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects to the EcoNews page","121676","testCancelButtonBehavior","TestSuite","Sat Mar 14 22:27:39 UTC 2026","passed","Sat Mar 14 22:29:41 UTC 2026","org.greencity.ui.CreateNews.CancelCreatingTest","UI Tests","org.greencity.ui.CreateNews.CancelCreatingTest","testCancelButtonBehavior"
"The test checks successful validation when uploading a valid PNG image","385","imgUploadPositive","TestSuite","Sat Mar 14 22:28:31 UTC 2026","passed","Sat Mar 14 22:28:32 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadPositive"
"","277","deleteCommentTest","TestSuite","Sat Mar 14 22:32:07 UTC 2026","passed","Sat Mar 14 22:32:08 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","deleteCommentTest"
"This test verifies that the EcoNews page API returns correct pagination data and validates the first news item, including its ID, title, author details, and tags.","321","verifyEcoNewsPageDataTest","TestSuite","Sat Mar 14 22:32:07 UTC 2026","passed","Sat Mar 14 22:32:08 UTC 2026","org.greencity.api.EcoNewsTest","API Tests","org.greencity.api.EcoNewsTest","verifyEcoNewsPageDataTest"
"Attempt to add EcoNews to favorites without token - should return 401","201","addToFavorites_unauthorized_shouldReturn401","TestSuite","Sat Mar 14 22:32:16 UTC 2026","passed","Sat Mar 14 22:32:16 UTC 2026","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithoutTokenTest","API Tests","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithoutTokenTest","addToFavorites_unauthorized_shouldReturn401"
"Verify that the Edit News form contains the particular fields in English locale","9617","verifyEditNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Sat Mar 14 22:29:12 UTC 2026","passed","Sat Mar 14 22:29:22 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","verifyEditNewsFormFieldsVisibilityInEnglishLocale"
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","1049","testUpdateEcoNewsByIdShouldReturn400","TestSuite","Sat Mar 14 22:32:09 UTC 2026","passed","Sat Mar 14 22:32:10 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","testUpdateEcoNewsByIdShouldReturn400"
"","317","addSubCommentTest","TestSuite","Sat Mar 14 22:32:06 UTC 2026","passed","Sat Mar 14 22:32:07 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentTest","addSubCommentTest"
"Verify that an attempt to like non-existing EcoNews returns 404 status code","240","likeNonExistingEcoNewsById","TestSuite","Sat Mar 14 22:32:18 UTC 2026","passed","Sat Mar 14 22:32:18 UTC 2026","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","likeNonExistingEcoNewsById"
