"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating EcoNews without authorization returns 401 status code.","49","testUpdateEcoNewsByIdWithoutTokenShouldReturn401","TestSuite","Mon Feb 16 08:10:17 UTC 2026","passed","Mon Feb 16 08:10:17 UTC 2026","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","testUpdateEcoNewsByIdWithoutTokenShouldReturn401"
"","1297","secondTest","TestSuite","Mon Feb 16 08:09:47 UTC 2026","passed","Mon Feb 16 08:09:48 UTC 2026","org.greencity.ui.FirstTest","UI Tests","org.greencity.ui.FirstTest","secondTest"
"","1143","checkThreeTagsSelection","TestSuite","Mon Feb 16 08:10:08 UTC 2026","passed","Mon Feb 16 08:10:09 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"","1455","signInTest","TestSuite","Mon Feb 16 08:10:13 UTC 2026","passed","Mon Feb 16 08:10:15 UTC 2026","org.greencity.api.OwnSecurityTest","API Tests","org.greencity.api.OwnSecurityTest","signInTest"
"Verify that the Create News form contains the particular fields in Ukrainian locale","7827","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Mon Feb 16 08:07:47 UTC 2026","passed","Mon Feb 16 08:07:54 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale"
"Verify validation logic for invalid Source field and successful publish after correction","2279","SourceFieldNonValidValidation","TestSuite","Mon Feb 16 08:08:09 UTC 2026","passed","Mon Feb 16 08:08:11 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
"Verify that deleting EcoNews without authorization returns 401 status code.","44","testDeleteEcoNewsByIdWithoutTokenShouldReturn401","TestSuite","Mon Feb 16 08:10:16 UTC 2026","passed","Mon Feb 16 08:10:17 UTC 2026","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","testDeleteEcoNewsByIdWithoutTokenShouldReturn401"
"Verify that an attempt to like another user's EcoNews returns 200 status code","353","likeAnotherUsersEcoNewsById","TestSuite","Mon Feb 16 08:10:17 UTC 2026","passed","Mon Feb 16 08:10:18 UTC 2026","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.LikeEcoNewsByIdTest","likeAnotherUsersEcoNewsById"
"Verify that the Edit News form contains the particular fields in Ukrainian locale","60195","verifyEditNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Mon Feb 16 08:08:43 UTC 2026","failed","Mon Feb 16 08:09:43 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","verifyEditNewsFormFieldsVisibilityInUkrainianLocale"
"Verify that EcoNews can be successfully retrieved by ID.","66","getEcoNewsByIdTest","TestSuite","Mon Feb 16 08:10:16 UTC 2026","broken","Mon Feb 16 08:10:16 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","getEcoNewsByIdTest"
"Verify that updating EcoNews with a specific image is successful","453","testUpdateEcoNewsByIdWithImage","TestSuite","Mon Feb 16 08:10:16 UTC 2026","passed","Mon Feb 16 08:10:17 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","testUpdateEcoNewsByIdWithImage"
